"study","pubyear","country","from","to","cases","total"
"Brooks (1977)",1977,"UK",1953,1968,47,177413
"Danieli (1977)",1977,"IT",1952,1972,66,234396
"Takeshita (1977)",1977,"JP",1956,1970,19,91157
"Drummond (1979)",1979,"NZ",,,2,10000
"Cowan (1980)",1980,"AU",1960,1971,99,532302
"Danieli (1980)",1980,"IT",1952,1972,105,371698
"Bertolotto (1981)",1981,"IT",1955,1974,73,301283
"Monckton (1982)",1982,"CA",1950,1979,110,420374
"Dellamonica (1983)",1983,"FR",1978,1978,12,71091
"Nigro (1983)",1983,"IT",1969,1980,156,721163
"Scheuerbrandt (1986)",1986,"DE",1977,1984,48,176600
"Mostacciuolo (1987)",1987,"IT",1955,1984,76,292637
"Takeshita (1988)",1987,"JP",1956,1980,50,261254
"Greenberg (1989)",1988,"CA",1986,1987,5,18000
"Tangsrud (1989)",1989,"NO",1968,1977,16,72963
"Merlini (1992)",1992,"IT",1970,1982,20,77654
"van Essen (1992)",1992,"NL",1961,1982,397,1673791
"Bradley (1993)",1993,"UK",1990,1992,9,34219
"Peterlin (1997)",1997,"SI",1969,1984,29,210324
"Drousiotou (1998)",1998,"CY",1992,1997,5,30014
"Jeppesen (2003)",2003,"DK",1992,1996,21,111703
"Talkop (2003)",2003,"EE",1986,1990,11,62188
"Eyskens (2006)",2006,"BE",1979,2003,51,281214
"Dooley (2010)",2010,"CA",1969,2003,40,190521
"Mendell (2012)",2012,"US",2007,2011,6,37649
"Moat (2013)",2013,"UK",1990,2011,72,369780
