"author","resp.halo","fail.halo","miss.halo","resp.plac","fail.plac","miss.plac"
"Avanitis",25,25,2,18,33,0
"Beasley",29,18,22,20,14,34
"Bechelli",12,17,1,2,28,1
"Borison",3,9,0,0,12,0
"Chouinard",10,11,0,3,19,0
"Durost",11,8,0,1,14,0
"Garry",7,18,1,4,21,1
"Howard",8,9,0,3,10,0
"Marder",19,45,2,14,50,2
"Nishikawa 82",1,9,0,0,10,0
"Nishikawa 84",11,23,3,0,13,0
"Reschke",20,9,0,2,9,0
"Selman",17,1,11,7,4,18
"Serafetinides",4,10,0,0,13,1
"Simpson",2,14,0,0,7,1
"Spencer",11,1,0,1,11,0
"Vichaiya",9,20,1,0,29,1
