"author","year","mean.das","lower.das","upper.das","mean.haq","lower.haq","upper.haq","n"
"Bennet",2005,-1.7,-2.11,-1.29,-0.31,-0.57,-0.05,26
"Bingham",2009,-1.6,-1.78,-1.42,-0.35,-0.44,-0.26,188
"Bombardieri",2007,-1.9,-2,-1.8,-0.48,-0.52,-0.44,810
"Buch",2007,-1.47,-1.79,-1.15,NA,NA,NA,72
"Cohen",2005,-1.87,-2.26,-1.48,NA,NA,NA,30
"DI Pol",2007,-2.1,-2.63,-1.57,NA,NA,NA,18
"Finckh",2007,-0.98,-1.33,-0.63,NA,NA,NA,66
"Haraoui",2004,NA,NA,NA,-0.45,-0.73,-0.17,22
"Hjardem",2007,-1,-1.22,-0.78,NA,NA,NA,110
"Hydrich",2008,NA,NA,NA,-0.12,-0.18,-0.06,331
"Iannone",2009,NA,NA,NA,0.15,-0.11,0.41,37
"Laas",2008,-1.24,-1.81,-0.67,NA,NA,NA,26
"Navarro-Sarabia",2009,-1.1,-1.42,-0.78,-0.21,-0.35,-0.07,83
"Nikas",2006,-2.4,-2.69,-2.11,NA,NA,NA,24
"Van der Bijl",2008,-1.5,-1.99,-1.01,-0.21,-0.36,-0.06,41
"Wick",2005,-1.06,-1.15,-0.97,NA,NA,NA,36
