"","es.id","study.id","year","yi","vi","condition","csl","species","bam","ext","rep","dichrep"
"1","1","Striepens et al., 2013",2013,0.100335347731076,0.0833333333333333,"n","csf","h","ria","y","rep","rep"
"2","2","Carson et al., 2014",2014,0.366659884826537,0.0416666666666667,"b","csf","h","eia","y","rep","rep"
"3","3","Martin et al., 2014a",2014,0.323867791040223,0.0381944444444444,"o","csf","h","ria","y","rep","rep"
"4","4","Martin et al., 2014b",2014,-0.149095025025098,0.0384615384615385,"b","csf","h","ria","y","rep","rep"
"5","5","Kagerbauer et al., 2013",2013,-0.15625949779936,0.0263157894736842,"b","csf","h","ria","y","rep","rep"
"6","6","Neumann et al., 2013a",2013,0.485076829976982,0.213188262693116,"b","cea","r","ria","y","rep","rep"
"7","7","Neumann et al., 2013b",2013,0.73894417032113,0.0724561134290722,"n","cea","r","ria","y","rep","rep"
"8","8","Neumann et al., 2013c",2013,0.355868825400388,0.21459573106022,"p","cea","r","ria","y","rep","rep"
"9","9","Neumann et al.,2013d",2013,0.457786372185422,0.168319795571761,"b","hc","r","ria","y","rep","rep"
"10","10","Neumann et al.,2013e",2013,0.640985664188321,0.0546183588329424,"n","hc","r","ria","y","rep","rep"
"11","11","Neumann et al.,2013f",2013,0.453656550065205,0.223925980236751,"p","hc","r","ria","y","rep","rep"
"12","12","Wang et al., 2013",2013,1.62956774957695,0.0714285714285714,"n","csf","h","ria","n","rep","rep"
"13","13","Kojima et al., 2012a",2012,0.0100003333533347,0.0666666666666667,"b","hyp","r","eia","y","rep","rep"
"14","14","Kojima et al., 2012b",2012,0.686920450024302,0.0588235294117647,"s","hyp","r","eia","y","rep","rep"
"15","15","Kojima et al., 2012c",2012,0.606983185004545,0.0625,"s","hyp","r","eia","y","rep","rep"
"16","16","Kojima et al., 2012d",2012,0.424839974110779,0.0666666666666667,"s","hyp","r","eia","y","rep","rep"
"17","17","Williams et al., 2012",2012,0.638555050035361,0.0833333333333333,"s","hyp","r","eia","y","rep","rep"
"18","18","Sansone et al., 2002",2002,0.0447512100688792,0.0546875,"o","csf","r","ria","y","rep","rep"
"19","19","Amico et al., 1990",1990,-0.353282033061848,0.325,"b","csf","nhp","ria","y","scrape","unrep"
"20","20","Takeda et al., 1985",1985,0.114226822413716,0.0285714285714286,"b","csf","h","ria","y","scrape","unrep"
"21","21","Takagi et al., 1985",1985,0.0221004874889172,0.0357142857142857,"b","csf","h","ria","n","scrape","unrep"
"22","22","Jokinen et al., 2012a",2012,0.151140435936467,0.04,"b","csf","h","ria","n","rep","rep"
"23","23","Jokinen et al., 2012b",2012,0.0600721559210317,0.0625,"b","csf","h","ria","n","rep","rep"
"24","24","Jin et al., 2007a",2007,-0.344687081891953,0.0190754800802645,"b","csf","r","o","o","unrep","unrep"
"25","25","Jin et al., 2007b",2007,0.146490974603823,0.156129466857584,"p","csf","r","o","o","unrep","unrep"
"26","26","Keverne et al., 1991a",1991,0.101517577885008,0.1125,"b","csf","s","ria","n","tab","unrep"
"27","27","Keverne et al., 1991b",1991,0.316033393042509,0.225,"o","csf","s","ria","n","tab","unrep"
"28","28","Engelmann et al., 2004a",2004,0.0534337023735874,0.05678662474203,"b","hyp","r","ria","y","unrep","unrep"
"29","29","Engelmann et al., 2004b",2004,0.205911459448039,0.176026233110378,"o","hyp","r","ria","y","unrep","unrep"
"30","30","Engelmann et al., 2004c",2004,0.0912672104251305,0.168999830225094,"s","hyp","r","ria","y","unrep","unrep"
"31","31","Kleindienst et al., 2004a",2004,0.726758393590262,0.0359342327889415,"b","hyp","r","ria","y","unrep","unrep"
"32","32","Kleindienst et al., 2004b",2004,0.876538699328291,0.152720489353001,"o","hyp","r","ria","y","unrep","unrep"
